CryoSleep,Destination,Age,VIP,Transported,GroupSize,HomePlanet,CabinDeck,CabinSide,AnyExpenses,EssencialBill,NonEssencialBill
False,55 Cancri e,1,False,False,1,Earth,F,S,True,195.0,3160.0
True,55 Cancri e,1,False,False,1,Earth,G,P,False,0.0,0.0
True,TRAPPIST-1e,1,False,True,1,Earth,G,P,False,0.0,0.0
False,TRAPPIST-1e,2,False,False,1,Europa,B,P,True,209.0,3366.0
True,TRAPPIST-1e,3,False,False,3,Earth,G,P,False,0.0,0.0
True,55 Cancri e,0,False,True,3,Earth,G,P,False,0.0,0.0
True,PSO J318.5-22,1,False,True,3,Earth,G,P,False,0.0,0.0
False,TRAPPIST-1e,1,False,False,2,Mars,F,P,True,180.0,1034.0
True,Ns/Nc,1,False,True,2,Mars,F,P,False,0.0,0.0
False,55 Cancri e,2,False,False,1,Earth,E,S,True,0.0,790.0
False,TRAPPIST-1e,3,False,False,1,Earth,E,S,True,112.0,1506.0
False,TRAPPIST-1e,0,False,False,1,Earth,G,S,True,2.0,4687.0
False,TRAPPIST-1e,1,False,True,1,Earth,F,S,True,1938.0,1.0
False,TRAPPIST-1e,0,False,True,3,Europa,A,S,False,0.0,0.0
True,TRAPPIST-1e,2,False,True,3,Europa,A,S,False,0.0,0.0
False,TRAPPIST-1e,1,False,True,3,Europa,A,S,True,3979.0,568.0
True,PSO J318.5-22,2,False,False,1,Earth,G,S,False,0.0,0.0
False,TRAPPIST-1e,1,False,False,1,Earth,F,S,True,1244.0,1423.0
False,TRAPPIST-1e,4,False,False,1,Earth,F,S,True,592.0,42.0
True,TRAPPIST-1e,0,False,True,2,Mars,F,S,False,0.0,0.0
True,TRAPPIST-1e,2,False,True,2,Mars,E,S,False,0.0,0.0
False,TRAPPIST-1e,4,False,False,1,Earth,G,P,True,350.0,461.0
True,PSO J318.5-22,0,False,True,3,Earth,G,S,False,0.0,0.0
False,TRAPPIST-1e,1,False,True,3,Earth,G,S,True,704.0,1.0
False,55 Cancri e,1,False,False,3,Earth,F,S,True,37.0,1970.0
False,TRAPPIST-1e,2,False,False,1,Mars,E,S,True,2.0,1046.0
False,TRAPPIST-1e,2,False,True,1,Earth,F,S,True,9.0,893.0
False,TRAPPIST-1e,1,False,False,1,Earth,F,P,True,5.0,917.0
False,TRAPPIST-1e,1,False,False,1,Earth,F,P,True,2165.0,68.0
False,TRAPPIST-1e,0,False,False,1,Earth,F,S,True,1.0,1063.0
False,PSO J318.5-22,2,False,False,1,Mars,D,P,True,821.0,58.0
False,TRAPPIST-1e,2,False,True,1,Europa,C,S,True,8397.0,507.0
False,TRAPPIST-1e,1,False,True,1,Mars,F,S,True,1018.0,147.0
False,TRAPPIST-1e,1,False,True,1,Mars,F,P,True,1295.0,14.0
False,TRAPPIST-1e,2,False,False,1,Europa,C,S,True,5840.0,9975.0
True,TRAPPIST-1e,0,False,False,1,Earth,G,S,False,0.0,0.0
False,TRAPPIST-1e,2,False,False,3,Mars,F,P,True,0.0,7406.0
True,TRAPPIST-1e,0,False,True,3,Mars,F,P,False,0.0,0.0
False,TRAPPIST-1e,0,False,True,3,Mars,F,P,False,0.0,0.0
False,TRAPPIST-1e,1,False,True,1,Earth,G,S,True,0.0,705.0
True,TRAPPIST-1e,2,False,True,1,Europa,C,S,False,0.0,0.0
False,TRAPPIST-1e,2,False,False,1,Earth,F,P,True,0.0,1362.0
True,PSO J318.5-22,2,False,True,1,Mars,E,S,False,0.0,0.0
True,TRAPPIST-1e,2,False,True,1,Earth,G,S,False,0.0,0.0
True,TRAPPIST-1e,1,False,True,2,Earth,G,S,False,0.0,0.0
False,TRAPPIST-1e,1,False,False,2,Earth,F,S,True,728.0,189.0
False,TRAPPIST-1e,1,False,False,3,Earth,G,P,True,670.0,35.0
True,TRAPPIST-1e,0,False,True,3,Earth,G,P,False,0.0,0.0
True,TRAPPIST-1e,0,False,True,3,Earth,G,P,False,0.0,0.0
False,TRAPPIST-1e,3,False,False,1,Europa,A,S,True,1208.0,640.0
False,TRAPPIST-1e,1,False,False,2,Earth,G,P,True,861.0,32.0
False,TRAPPIST-1e,1,False,True,2,Earth,G,P,True,3768.0,87.0
False,PSO J318.5-22,1,False,False,2,Earth,F,P,True,953.0,348.0
Ns/Nc,TRAPPIST-1e,0,False,True,2,Earth,G,P,False,0.0,0.0
True,TRAPPIST-1e,2,False,True,1,Mars,nan,nan,False,0.0,0.0
False,TRAPPIST-1e,1,False,False,1,Earth,F,S,True,0.0,921.0
False,TRAPPIST-1e,1,False,True,3,Earth,F,S,True,0.0,17.0
True,55 Cancri e,0,False,True,3,Earth,G,S,False,0.0,0.0
True,TRAPPIST-1e,0,False,False,3,Earth,G,S,False,0.0,0.0
Ns/Nc,TRAPPIST-1e,1,False,False,1,Earth,F,P,True,570.0,133.0
False,TRAPPIST-1e,1,False,False,1,Mars,D,S,True,22.0,1743.0
True,TRAPPIST-1e,1,False,False,3,Earth,G,S,False,0.0,0.0
False,TRAPPIST-1e,2,False,False,3,Earth,G,S,True,326.0,562.0
False,TRAPPIST-1e,0,False,True,3,Earth,G,S,False,0.0,0.0
False,TRAPPIST-1e,2,False,False,4,Europa,nan,nan,True,416.0,4693.0
Ns/Nc,TRAPPIST-1e,2,False,False,4,Europa,B,P,True,331.0,1687.0
False,TRAPPIST-1e,2,False,True,4,Europa,B,P,True,11418.0,4522.0
True,TRAPPIST-1e,1,False,True,4,Europa,B,P,False,0.0,0.0
True,TRAPPIST-1e,1,False,True,1,Europa,E,S,False,0.0,0.0
False,55 Cancri e,3,True,True,1,Europa,B,S,True,2624.0,30.0
False,TRAPPIST-1e,4,False,True,1,Earth,F,P,True,804.0,0.0
False,TRAPPIST-1e,1,False,False,1,Earth,G,S,True,586.0,321.0
Ns/Nc,TRAPPIST-1e,1,False,True,1,Mars,F,P,False,0.0,0.0
False,TRAPPIST-1e,2,False,True,1,Europa,D,P,True,2223.0,417.0
False,TRAPPIST-1e,2,False,False,2,Europa,A,P,True,2344.0,6963.0
True,TRAPPIST-1e,0,False,True,2,Europa,A,P,False,0.0,0.0
True,TRAPPIST-1e,1,False,True,1,Mars,F,P,False,0.0,0.0
False,TRAPPIST-1e,1,False,False,1,Earth,G,S,True,0.0,773.0
False,TRAPPIST-1e,1,False,False,1,Earth,F,P,True,646.0,56.0
True,TRAPPIST-1e,4,False,True,1,Mars,F,S,False,0.0,0.0
False,TRAPPIST-1e,2,False,False,1,Mars,E,S,True,296.0,726.0
False,TRAPPIST-1e,4,True,False,2,Mars,D,S,True,343.0,2671.0
False,TRAPPIST-1e,2,False,False,2,Mars,E,S,True,6.0,2103.0
True,PSO J318.5-22,1,False,True,1,Earth,G,S,False,0.0,0.0
True,TRAPPIST-1e,1,False,True,2,Mars,F,S,False,0.0,0.0
False,TRAPPIST-1e,2,False,False,2,Mars,D,S,True,0.0,2738.0
False,TRAPPIST-1e,1,False,True,1,Earth,G,P,True,744.0,0.0
False,PSO J318.5-22,3,False,False,1,Earth,G,S,True,544.0,177.0
True,TRAPPIST-1e,0,False,True,2,Earth,G,P,False,0.0,0.0
False,Ns/Nc,2,False,False,2,Earth,E,P,True,22.0,771.0
True,55 Cancri e,2,False,True,1,Europa,C,S,False,0.0,0.0
True,TRAPPIST-1e,1,False,True,2,Earth,G,P,False,0.0,0.0
False,TRAPPIST-1e,1,False,False,2,Earth,F,P,True,0.0,902.0
False,TRAPPIST-1e,2,False,False,1,Mars,F,P,True,97.0,0.0
False,TRAPPIST-1e,1,False,True,1,Earth,F,S,True,630.0,0.0
False,TRAPPIST-1e,3,False,False,1,Earth,G,S,False,0.0,0.0
True,TRAPPIST-1e,3,False,True,1,Earth,G,S,False,0.0,0.0
False,TRAPPIST-1e,2,False,False,1,Mars,F,P,True,10.0,1148.0
True,55 Cancri e,3,False,True,1,Earth,G,S,False,0.0,0.0
True,55 Cancri e,2,False,False,1,Earth,G,P,False,0.0,0.0
False,Ns/Nc,2,False,False,1,Earth,F,P,True,0.0,607.0
False,TRAPPIST-1e,1,False,False,1,Earth,G,P,True,0.0,4180.0
True,TRAPPIST-1e,1,False,True,2,Europa,B,P,False,0.0,0.0
True,TRAPPIST-1e,1,False,True,2,Europa,B,P,False,0.0,0.0
False,TRAPPIST-1e,3,False,True,2,Earth,G,S,True,1688.0,185.0
True,PSO J318.5-22,1,False,False,2,Earth,G,S,False,0.0,0.0
True,TRAPPIST-1e,2,Ns/Nc,True,1,Mars,F,P,False,0.0,0.0
True,TRAPPIST-1e,0,False,True,2,Mars,F,S,False,0.0,0.0
False,TRAPPIST-1e,1,False,False,2,Mars,F,S,True,48.0,1524.0
True,TRAPPIST-1e,2,False,False,1,Earth,G,P,False,0.0,0.0
False,TRAPPIST-1e,1,False,False,1,Earth,E,S,True,0.0,788.0
True,PSO J318.5-22,1,False,True,1,Earth,G,S,False,0.0,0.0
True,TRAPPIST-1e,2,False,True,1,Earth,G,P,False,0.0,0.0
Ns/Nc,TRAPPIST-1e,3,False,True,1,Earth,E,S,True,985.0,5.0
False,55 Cancri e,1,False,False,1,Earth,F,P,True,16.0,577.0
False,TRAPPIST-1e,2,False,False,1,Europa,B,S,True,10347.0,17081.0
False,TRAPPIST-1e,2,False,False,1,Mars,D,S,True,161.0,3561.0
False,TRAPPIST-1e,1,False,True,3,Earth,G,P,True,892.0,14.0
False,TRAPPIST-1e,0,False,False,3,Earth,G,P,False,0.0,0.0
False,TRAPPIST-1e,0,False,True,3,Earth,G,P,False,0.0,0.0
False,TRAPPIST-1e,1,False,False,1,Earth,G,P,True,3.0,391.0
True,TRAPPIST-1e,1,False,True,1,Europa,C,P,False,0.0,0.0
False,TRAPPIST-1e,2,False,True,1,Earth,F,S,True,572.0,249.0
False,TRAPPIST-1e,1,False,False,1,Earth,G,P,True,0.0,1018.0
True,TRAPPIST-1e,3,False,True,1,Earth,G,S,False,0.0,0.0
False,55 Cancri e,3,False,False,1,Earth,E,P,True,404.0,384.0
True,55 Cancri e,0,False,False,1,Earth,G,S,False,0.0,0.0
True,TRAPPIST-1e,0,False,True,3,Earth,G,P,False,0.0,0.0
False,TRAPPIST-1e,0,False,False,3,Earth,G,P,False,0.0,0.0
False,TRAPPIST-1e,2,False,False,3,Earth,G,P,True,10.0,898.0
True,TRAPPIST-1e,0,False,True,3,Mars,F,P,False,0.0,0.0
False,TRAPPIST-1e,1,False,False,3,Mars,F,P,True,8.0,1072.0
False,TRAPPIST-1e,0,False,True,3,Mars,F,P,False,0.0,0.0
False,TRAPPIST-1e,2,False,True,1,Mars,F,P,True,867.0,406.0
False,PSO J318.5-22,1,False,False,1,Mars,D,P,True,719.0,1059.0
False,TRAPPIST-1e,2,False,False,1,Europa,C,P,True,972.0,1370.0
Ns/Nc,PSO J318.5-22,3,False,True,1,Earth,G,P,False,0.0,0.0
True,TRAPPIST-1e,1,False,False,1,Earth,G,S,False,0.0,0.0
True,TRAPPIST-1e,0,False,True,1,Earth,G,P,False,0.0,0.0
True,TRAPPIST-1e,2,False,True,2,Europa,B,S,False,0.0,0.0
True,TRAPPIST-1e,3,False,True,2,Europa,B,S,False,0.0,0.0
True,55 Cancri e,2,False,True,2,Europa,B,P,False,0.0,0.0
False,55 Cancri e,1,False,True,2,Europa,A,P,True,2433.0,1321.0
True,TRAPPIST-1e,3,False,True,1,Europa,C,S,False,0.0,0.0
False,TRAPPIST-1e,1,False,False,1,Earth,G,S,True,68.0,705.0
False,55 Cancri e,1,False,True,1,Europa,C,S,True,1732.0,1249.0
True,PSO J318.5-22,1,False,False,1,Earth,G,P,False,0.0,0.0
True,55 Cancri e,1,False,True,1,Ns/Nc,D,P,False,0.0,0.0
False,TRAPPIST-1e,1,False,True,3,Mars,F,P,True,138.0,902.0
True,TRAPPIST-1e,0,False,True,3,Mars,F,P,False,0.0,0.0
False,TRAPPIST-1e,1,False,False,3,Mars,F,P,True,307.0,1030.0
False,TRAPPIST-1e,0,False,False,2,Earth,E,P,True,0.0,982.0
False,TRAPPIST-1e,2,False,False,2,Earth,F,P,True,188.0,544.0
False,TRAPPIST-1e,1,False,False,1,Earth,F,P,True,281.0,513.0
False,55 Cancri e,1,False,False,1,Earth,F,S,True,56.0,1918.0
False,TRAPPIST-1e,2,False,False,1,Earth,F,P,True,0.0,1544.0
True,TRAPPIST-1e,1,False,True,1,Earth,G,P,False,0.0,0.0
True,TRAPPIST-1e,0,False,True,7,Earth,G,P,False,0.0,0.0
False,TRAPPIST-1e,0,False,True,7,Earth,G,P,False,0.0,0.0
True,TRAPPIST-1e,0,False,False,7,Earth,G,P,False,0.0,0.0
False,TRAPPIST-1e,1,False,False,7,Earth,E,P,True,84.0,122.0
False,TRAPPIST-1e,1,False,False,7,Earth,F,P,True,3.0,1099.0
False,55 Cancri e,0,False,False,7,Earth,G,P,False,0.0,0.0
True,TRAPPIST-1e,0,False,True,7,Earth,G,P,False,0.0,0.0
False,55 Cancri e,1,False,False,7,Mars,E,S,True,119.0,2237.0
False,TRAPPIST-1e,1,False,False,7,Mars,E,S,True,81.0,1217.0
False,TRAPPIST-1e,2,False,False,7,Mars,E,S,True,200.0,1934.0
True,TRAPPIST-1e,1,False,True,7,Mars,E,S,False,0.0,0.0
False,TRAPPIST-1e,2,False,False,7,Mars,E,S,True,301.0,2296.0
False,TRAPPIST-1e,1,False,False,7,Mars,E,S,True,221.0,1149.0
True,TRAPPIST-1e,2,False,False,7,Mars,E,S,False,0.0,0.0
False,TRAPPIST-1e,1,False,False,3,Mars,F,S,True,0.0,1417.0
True,TRAPPIST-1e,1,False,True,3,Mars,F,S,False,0.0,0.0
True,TRAPPIST-1e,1,False,True,3,Mars,E,S,False,0.0,0.0
False,TRAPPIST-1e,1,False,False,1,Earth,G,S,True,667.0,9.0
False,TRAPPIST-1e,2,True,False,1,Mars,F,S,True,5.0,1815.0
True,PSO J318.5-22,3,False,True,1,Earth,G,P,False,0.0,0.0
False,TRAPPIST-1e,1,False,False,1,Earth,F,S,True,7.0,796.0
False,TRAPPIST-1e,1,False,False,1,Mars,F,S,True,1.0,1805.0
True,PSO J318.5-22,1,False,False,1,Earth,G,S,False,0.0,0.0
False,TRAPPIST-1e,2,False,False,1,Mars,F,S,True,256.0,1494.0
False,TRAPPIST-1e,2,False,False,1,Earth,F,P,True,888.0,0.0
True,TRAPPIST-1e,2,False,True,1,Europa,B,P,False,0.0,0.0
False,TRAPPIST-1e,2,False,False,1,Mars,nan,nan,True,0.0,1048.0
True,TRAPPIST-1e,2,False,True,1,Mars,F,P,False,0.0,0.0
Ns/Nc,55 Cancri e,2,False,False,1,Europa,E,P,True,1249.0,5928.0
False,TRAPPIST-1e,1,False,False,1,Ns/Nc,F,S,True,692.0,596.0
True,TRAPPIST-1e,1,False,False,1,Earth,G,S,False,0.0,0.0
True,TRAPPIST-1e,2,False,True,2,Mars,nan,nan,False,0.0,0.0
True,55 Cancri e,0,Ns/Nc,True,2,Mars,F,S,False,0.0,0.0
False,55 Cancri e,3,False,True,2,Europa,C,P,True,3571.0,7.0
False,TRAPPIST-1e,2,False,False,2,Europa,C,P,True,882.0,11496.0
False,TRAPPIST-1e,1,False,False,1,Mars,D,P,True,287.0,2974.0
False,TRAPPIST-1e,2,False,False,1,Europa,C,S,True,1.0,9683.0
True,PSO J318.5-22,3,False,False,1,Earth,G,S,False,0.0,0.0
True,55 Cancri e,3,False,True,1,Ns/Nc,C,S,False,0.0,0.0
False,TRAPPIST-1e,1,False,False,1,Earth,F,P,True,1236.0,335.0
False,TRAPPIST-1e,1,False,False,1,Earth,G,P,True,615.0,273.0
False,TRAPPIST-1e,1,False,True,1,Earth,F,P,True,580.0,710.0
True,TRAPPIST-1e,1,False,True,1,Europa,A,S,False,0.0,0.0
False,55 Cancri e,1,False,False,2,Mars,F,S,True,0.0,1664.0
True,TRAPPIST-1e,3,False,True,2,Mars,F,S,False,0.0,0.0
False,TRAPPIST-1e,1,False,False,1,Earth,F,S,True,313.0,391.0
False,TRAPPIST-1e,1,False,False,1,Europa,E,S,True,4810.0,3035.0
False,TRAPPIST-1e,1,False,False,1,Earth,F,P,True,29.0,869.0
True,TRAPPIST-1e,1,False,True,1,Earth,G,P,False,0.0,0.0
True,TRAPPIST-1e,2,False,True,1,Europa,D,S,False,0.0,0.0
False,TRAPPIST-1e,0,False,False,1,Earth,F,S,True,0.0,873.0
False,55 Cancri e,3,False,True,1,Earth,F,S,True,823.0,0.0
False,TRAPPIST-1e,4,False,False,1,Earth,F,P,True,153.0,1240.0
True,55 Cancri e,1,False,True,1,Europa,D,S,False,0.0,0.0
False,55 Cancri e,3,False,True,1,Earth,F,P,True,2390.0,97.0
False,TRAPPIST-1e,2,False,False,2,Earth,nan,nan,True,0.0,888.0
False,TRAPPIST-1e,2,False,False,2,Earth,G,P,True,97.0,347.0
False,TRAPPIST-1e,1,False,True,1,Earth,F,P,True,2078.0,0.0
False,TRAPPIST-1e,1,False,True,1,Earth,F,S,True,918.0,0.0
True,PSO J318.5-22,1,False,True,2,Earth,G,P,False,0.0,0.0
False,TRAPPIST-1e,1,False,True,2,Earth,F,P,True,655.0,148.0
True,TRAPPIST-1e,0,False,True,2,Europa,E,P,False,0.0,0.0
True,55 Cancri e,2,False,True,2,Europa,E,P,False,0.0,0.0
False,55 Cancri e,3,False,False,1,Earth,F,P,True,1310.0,178.0
True,55 Cancri e,2,False,True,2,Europa,nan,nan,False,0.0,0.0
False,TRAPPIST-1e,1,False,False,2,Europa,B,P,True,619.0,1466.0
False,55 Cancri e,1,False,False,1,Earth,F,S,True,0.0,828.0
True,55 Cancri e,1,False,True,1,Europa,C,S,False,0.0,0.0
False,55 Cancri e,1,False,True,4,Europa,B,S,True,4458.0,1419.0
True,TRAPPIST-1e,1,False,True,4,Europa,B,S,False,0.0,0.0
Ns/Nc,TRAPPIST-1e,2,False,True,4,Europa,B,S,False,0.0,0.0
False,55 Cancri e,0,False,True,4,Europa,B,S,False,0.0,0.0
False,TRAPPIST-1e,2,False,True,1,Europa,D,S,True,6588.0,1090.0
True,TRAPPIST-1e,3,False,True,1,Europa,B,S,False,0.0,0.0
False,TRAPPIST-1e,1,False,True,1,Earth,G,P,True,1326.0,107.0
True,55 Cancri e,3,False,True,1,Europa,A,P,False,0.0,0.0
True,TRAPPIST-1e,1,False,False,1,Earth,nan,nan,False,0.0,0.0
False,TRAPPIST-1e,1,False,False,1,Earth,F,P,True,15.0,1370.0
True,TRAPPIST-1e,1,False,True,1,Ns/Nc,G,S,False,0.0,0.0
False,TRAPPIST-1e,1,False,False,1,Europa,E,S,True,422.0,7017.0
False,55 Cancri e,1,False,False,1,Europa,C,P,True,584.0,2489.0
False,TRAPPIST-1e,1,False,False,1,Earth,E,S,True,434.0,470.0
False,TRAPPIST-1e,1,False,True,1,Earth,F,S,True,1359.0,0.0
False,TRAPPIST-1e,1,False,False,1,Earth,F,S,True,157.0,1200.0
False,TRAPPIST-1e,4,False,False,1,Europa,nan,nan,True,230.0,4717.0
False,PSO J318.5-22,3,False,True,4,Earth,F,P,True,541.0,11.0
True,55 Cancri e,1,False,True,4,Earth,G,P,False,0.0,0.0
False,55 Cancri e,3,False,True,4,Earth,F,P,True,0.0,649.0
False,55 Cancri e,0,False,True,4,Earth,G,P,False,0.0,0.0
False,55 Cancri e,1,False,False,1,Earth,G,P,True,74.0,1716.0
True,PSO J318.5-22,2,False,True,1,Ns/Nc,G,S,False,0.0,0.0
False,TRAPPIST-1e,1,False,True,2,Europa,B,S,True,2628.0,170.0
True,TRAPPIST-1e,1,False,True,2,Europa,B,S,False,0.0,0.0
False,TRAPPIST-1e,1,False,False,2,Earth,G,S,True,2.0,0.0
False,TRAPPIST-1e,1,False,False,2,Earth,G,S,True,8.0,0.0
False,TRAPPIST-1e,3,True,False,1,Ns/Nc,F,S,True,209.0,1018.0
True,PSO J318.5-22,0,False,False,1,Earth,G,S,False,0.0,0.0
True,55 Cancri e,2,False,False,1,Earth,G,P,False,0.0,0.0
True,TRAPPIST-1e,1,False,False,1,Earth,G,S,False,0.0,0.0
False,TRAPPIST-1e,1,False,True,1,Earth,nan,nan,True,784.0,19.0
False,TRAPPIST-1e,0,False,True,3,Europa,C,S,False,0.0,0.0
False,TRAPPIST-1e,2,False,True,3,Europa,C,S,True,4651.0,495.0
False,TRAPPIST-1e,2,False,False,3,Europa,C,S,True,317.0,1851.0
False,TRAPPIST-1e,1,False,False,1,Earth,F,P,True,251.0,552.0
True,55 Cancri e,1,False,True,1,Mars,F,P,False,0.0,0.0
False,TRAPPIST-1e,1,False,False,1,Mars,F,S,True,213.0,7191.0
False,TRAPPIST-1e,2,False,False,1,Earth,F,P,True,17.0,695.0
True,55 Cancri e,0,False,True,3,Mars,F,S,False,0.0,0.0
False,TRAPPIST-1e,1,False,True,3,Mars,F,S,True,983.0,1477.0
False,55 Cancri e,0,False,True,3,Mars,F,S,False,0.0,0.0
True,TRAPPIST-1e,1,False,True,1,Earth,G,S,False,0.0,0.0
True,55 Cancri e,2,False,True,1,Europa,B,S,False,0.0,0.0
True,PSO J318.5-22,0,False,False,1,Earth,G,P,False,0.0,0.0
False,PSO J318.5-22,2,False,False,1,Earth,F,P,True,0.0,1302.0
True,TRAPPIST-1e,1,False,False,1,Mars,E,S,False,0.0,0.0
True,55 Cancri e,0,False,True,1,Earth,G,P,False,0.0,0.0
False,TRAPPIST-1e,1,False,False,1,Mars,F,S,True,1434.0,434.0
False,TRAPPIST-1e,1,False,True,2,Mars,D,P,True,3078.0,145.0
Ns/Nc,TRAPPIST-1e,2,False,True,2,Mars,nan,nan,True,1865.0,520.0
True,PSO J318.5-22,0,False,True,1,Earth,G,P,False,0.0,0.0
False,TRAPPIST-1e,1,False,False,1,Mars,F,P,True,2975.0,2001.0
True,TRAPPIST-1e,1,False,True,1,Earth,nan,nan,False,0.0,0.0
True,55 Cancri e,2,False,True,1,Europa,B,P,False,0.0,0.0
False,TRAPPIST-1e,2,False,False,1,Earth,F,S,True,1198.0,696.0
True,TRAPPIST-1e,3,False,True,2,Earth,G,S,False,0.0,0.0
True,PSO J318.5-22,2,False,True,2,Earth,G,S,False,0.0,0.0
False,PSO J318.5-22,1,False,False,1,Earth,F,S,True,453.0,236.0
False,TRAPPIST-1e,0,False,False,1,Earth,F,S,True,245.0,470.0
False,55 Cancri e,2,False,True,1,Earth,F,S,True,36.0,697.0
False,55 Cancri e,2,False,False,1,Earth,G,S,True,0.0,706.0
False,TRAPPIST-1e,1,False,False,2,Mars,F,P,True,4554.0,2851.0
True,TRAPPIST-1e,4,False,True,2,Mars,F,P,False,0.0,0.0
False,TRAPPIST-1e,1,False,True,1,Earth,G,S,True,592.0,235.0
False,TRAPPIST-1e,1,False,False,1,Earth,F,P,True,95.0,1464.0
True,TRAPPIST-1e,1,False,True,1,Mars,F,P,False,0.0,0.0
False,TRAPPIST-1e,1,False,False,1,Earth,F,P,True,5.0,2766.0
True,TRAPPIST-1e,2,False,False,1,Earth,G,P,False,0.0,0.0
False,TRAPPIST-1e,1,False,False,1,Earth,E,P,True,558.0,230.0
False,TRAPPIST-1e,1,False,True,1,Earth,G,S,True,786.0,122.0
False,55 Cancri e,4,False,False,1,Europa,C,S,True,1068.0,8364.0
False,55 Cancri e,1,False,False,7,Europa,B,S,True,219.0,5846.0
True,55 Cancri e,1,False,True,7,Europa,B,S,False,0.0,0.0
False,TRAPPIST-1e,5,False,False,7,Europa,B,S,True,242.0,10403.0
True,TRAPPIST-1e,3,False,True,7,Europa,B,S,False,0.0,0.0
True,TRAPPIST-1e,0,False,True,7,Europa,B,S,False,0.0,0.0
False,TRAPPIST-1e,2,False,False,7,Europa,B,S,True,2497.0,2232.0
True,TRAPPIST-1e,2,False,True,7,Europa,B,S,False,0.0,0.0
False,TRAPPIST-1e,2,False,True,1,Earth,G,P,True,591.0,362.0
True,55 Cancri e,1,False,True,1,Europa,nan,nan,False,0.0,0.0
True,55 Cancri e,1,False,True,2,Europa,B,P,False,0.0,0.0
True,55 Cancri e,2,False,True,2,Europa,B,P,False,0.0,0.0
False,Ns/Nc,1,False,False,1,Ns/Nc,G,P,True,0.0,720.0
False,TRAPPIST-1e,1,False,False,2,Earth,G,S,True,773.0,3915.0
True,PSO J318.5-22,2,False,False,2,Earth,G,S,False,0.0,0.0
False,55 Cancri e,0,False,True,2,Earth,G,S,False,0.0,0.0
False,TRAPPIST-1e,0,False,True,2,Earth,G,S,True,881.0,28.0
False,TRAPPIST-1e,1,False,False,1,Earth,G,P,True,747.0,141.0
True,TRAPPIST-1e,3,False,False,1,Earth,G,P,False,0.0,0.0
